,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,20,AU,1586215753,66,-42.88,147.33,59.0,13.87
1,Saint-Philippe,4,RE,1586215923,68,-21.36,55.77,75.2,6.93
2,Saint-Médard-en-Jalles,100,FR,1586216096,87,44.9,-0.72,57.2,2.24
3,Butaritari,100,KI,1586215900,70,3.07,172.79,82.85,2.46
4,Rikitea,80,PF,1586215814,65,-23.12,-134.97,76.3,7.23
5,Fort Nelson,75,CA,1586215953,32,58.81,-122.7,41.0,3.36
6,Mazagão,40,BR,1586216097,100,-0.12,-51.29,84.2,9.17
7,Tazovsky,98,RU,1586215909,98,67.47,78.7,24.82,1.59
8,Ribeira Grande,85,PT,1586215899,90,38.52,-28.7,63.39,15.57
9,Punta Arenas,100,CL,1586215773,66,-53.15,-70.92,51.8,12.75
10,Pisco,0,PE,1586215966,30,-13.7,-76.22,73.99,14.99
11,Khandagayty,86,RU,1586216098,66,50.73,92.05,26.55,1.99
12,Twentynine Palms,40,US,1586216098,45,34.14,-116.05,75.2,19.46
13,Dikson,91,RU,1586215973,94,73.51,80.55,1.17,11.39
14,Vaini,75,TO,1586215919,78,-21.2,-175.2,77.0,8.05
15,La Ronge,90,CA,1586215960,86,55.1,-105.28,26.6,6.93
16,Yellowknife,75,CA,1586215702,63,62.46,-114.35,30.2,21.92
17,Beloha,1,MG,1586216099,80,-25.17,45.05,71.38,6.93
18,Albany,20,US,1586215898,19,42.6,-73.97,57.2,18.34
19,Busselton,3,AU,1586215903,38,-33.65,115.33,66.0,16.04
20,Manaure,99,CO,1586216100,73,11.78,-72.44,82.67,20.13
21,Nhulunbuy,40,AU,1586216101,74,-12.23,136.77,84.2,3.36
22,Cape Town,75,ZA,1586215699,54,-33.93,18.42,57.99,5.82
23,Ushuaia,75,AR,1586215895,66,-54.8,-68.3,50.0,21.92
24,Nemuro,2,JP,1586215966,80,43.32,145.57,37.02,10.36
25,Talnakh,90,RU,1586215958,95,69.49,88.4,32.0,17.9
26,Saint George,1,US,1586215893,32,37.1,-113.58,66.99,14.99
27,Numan,72,NG,1586216102,56,9.47,12.03,84.58,7.47
28,Bagnols-sur-Cèze,1,FR,1586216102,70,44.16,4.62,52.0,2.24
29,Port Alfred,49,ZA,1586215943,59,-33.59,26.89,59.83,24.81
30,Thompson,75,CA,1586215809,68,55.74,-97.86,24.8,9.17
31,Halifax,20,CA,1586215896,28,44.65,-63.57,46.99,13.87
32,Mataura,83,NZ,1586216103,79,-46.19,168.86,55.99,11.01
33,San Patricio,40,MX,1586216098,78,19.22,-104.7,82.4,11.41
34,Tuktoyaktuk,90,CA,1586215910,85,69.45,-133.04,24.8,20.8
35,Hasaki,75,JP,1586215953,61,35.73,140.83,54.0,5.82
36,Umluj,0,SA,1586216104,48,25.02,37.27,79.95,3.94
37,Peterhead,24,GB,1586215949,70,57.51,-1.8,42.8,6.93
38,Jamestown,75,US,1586215903,25,42.1,-79.24,53.6,8.05
39,Perth,13,AU,1586215812,45,-31.93,115.83,73.4,20.8
40,Araouane,0,ML,1586216105,12,18.9,-3.53,82.4,8.88
41,Hong Kong,40,HK,1586215913,82,22.29,114.16,64.99,5.82
42,Suez,25,EG,1586215879,67,29.97,32.53,62.08,11.72
43,Lagoa,100,PT,1586216083,95,39.05,-27.98,61.65,18.97
44,Cerro Punta,20,PA,1586216106,74,8.85,-82.57,86.0,12.75
45,Port Lincoln,5,AU,1586216064,69,-34.73,135.87,62.89,8.41
46,Sitka,90,US,1586215968,80,57.05,-135.33,35.6,17.22
